Root Domain,Location on Site,Technology Spend,Sales Revenue,Social,Employees,SKU,Company,Vertical,Page Rank,Emails,X,Twitter,Instagram,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,eCommerce Platform,CMS Platform,CRM Platform,CRuX Rank,Cloudflare Rank,Exclusion,Compliance
101lintbusters.com,101lintbusters.com,$100,,0,0,0,,Business And Industrial,71342754,,,,,,,,,02/05/2018,13/10/2023,19/07/2013,13/10/2023,,GoSite,,-,-,-,California CCPA
13mistakes.com,13mistakes.com,$100,,0,0,0,,,Outside Top 100m,,,,,,,,,16/05/2023,27/08/2023,16/05/2023,07/10/2023,,WordPress,,-,-,-,-
18009septic.com,18009septic.com,$1000,,0,0,0,Quality Septic LLC,Business And Industrial,24026069,info@18009septic.com,,,,Decatur,GA,30034,US,28/10/2022,15/08/2023,11/07/2016,16/10/2023,,Joomla!,,Top 50m,-,-,-
1833junkbug.com,1833junkbug.com,$100,,,,,JunkBug LLC,Science,78494290,info@1833junkbug.com,,,instagram.com/1833junkbug,Irvine,CA,92618,US,21/06/2022,07/10/2023,21/06/2022,08/10/2023,,GoDaddy Website Builder,,-,-,-,California CCPA
1907insulation.com,1907insulation.com,$100,$8366,,,,1907 Insulation,Business And Industrial,Outside Top 100m,service@1907insulation.com,,,instagram.com/1907insulation,Oklahoma City,Oklahoma,73114,US,07/10/2023,08/10/2023,15/10/2020,16/10/2023,,WordPress;Beaver Builder,,Top 10m,-,-,-
1callcleanout.com,1callcleanout.com,$100,,,,,1 Call Clean Out,Home And Garden,61942983,1callcleanout@gmail.com,,,,,,,,29/09/2022,27/08/2023,25/08/2019,07/10/2023,,WordPress,,-,-,-,-
1stactionpha.com,1stactionpha.com,$250,$12566,0,0,0,1st Action Plumbing Heating And Air  INC.,Home And Garden,23083956,1stactionpha@gmail.com,,,,Fort Collins,CO,80526,US,03/03/2020,08/10/2023,25/08/2019,08/10/2023,,Marketing 360;WordPress;Beaver Builder,,-,-,-,-
1stchoiceappliancerepair.com,1stchoiceappliancerepair.com,$100,,,,,1ST Choice Appliance Repair LLC,Home And Garden,26896800,alfredo@1stchoiceappliancerepair.com,,,,,,,,25/02/2020,17/10/2023,10/02/2006,17/10/2023,,WordPress;Beaver Builder,,-,-,-,-
1stchoicedoors.com,1stchoicedoors.com,$100,$14130,,,,1st Choice Doors LLC,Automotive And Vehicles,17230773,info@1stchoicedoors.com;service@1stchoicedoors.com,,,instagram.com/1stchoicedoors,Indianapolis,IN,46241,US,13/04/2021,07/10/2023,15/06/2012,07/10/2023,,Wix,,-,-,-,-
1stchoicelab.com,1stchoicelab.com,$1000,,0,0,0,,Finance,23561471,info@1stchoicelab.com;natalie@1stchoicelab.com;orders@1stchoicelab.com;marketing@1stchoicelab.com,,,,Goodyear,AZ,85395,US,25/02/2020,04/09/2023,27/01/2011,16/10/2023,,Webflow,,Top 50m,-,-,-
