Root Domain,Location on Site,Technology Spend,Sales Revenue,Social,Employees,SKU,Company,Vertical,Page Rank,Emails,X,Twitter,Instagram,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,eCommerce Platform,CMS Platform,CRM Platform,CRuX Rank,Cloudflare Rank,Exclusion,Compliance
101lintbusters.com,101lintbusters.com,$100,,0,0,0,,Business And Industrial,71342754,,,,,,,,,2018-05-02,2023-10-13,2013-07-19,2023-10-13,,GoSite,,-,-,-,California CCPA
13mistakes.com,13mistakes.com,$100,,0,0,0,,,Outside Top 100m,,,,,,,,,2023-05-16,2023-08-27,2023-05-16,2023-10-07,,WordPress,,-,-,-,-
18009septic.com,18009septic.com,$1000,,0,0,0,Quality Septic LLC,Business And Industrial,24026069,info@18009septic.com,,,,Decatur,GA,30034,US,2022-10-28,2023-08-15,2016-07-11,2023-10-16,,Joomla!,,Top 50m,-,-,-
1833junkbug.com,1833junkbug.com,$100,,,,,JunkBug LLC,Science,78494290,info@1833junkbug.com,,,instagram.com/1833junkbug,Irvine,CA,92618,US,2022-06-21,2023-10-07,2022-06-21,2023-10-08,,GoDaddy Website Builder,,-,-,-,California CCPA
1907insulation.com,1907insulation.com,$100,$8366,,,,1907 Insulation,Business And Industrial,Outside Top 100m,service@1907insulation.com,,,instagram.com/1907insulation,Oklahoma City,Oklahoma,73114,US,2023-10-07,2023-10-08,2020-10-15,2023-10-16,,WordPress;Beaver Builder,,Top 10m,-,-,-
1callcleanout.com,1callcleanout.com,$100,,,,,1 Call Clean Out,Home And Garden,61942983,1callcleanout@gmail.com,,,,,,,,2022-09-29,2023-08-27,2019-08-25,2023-10-07,,WordPress,,-,-,-,-
1stactionpha.com,1stactionpha.com,$250,$12566,0,0,0,1st Action Plumbing Heating And Air  INC.,Home And Garden,23083956,1stactionpha@gmail.com,,,,Fort Collins,CO,80526,US,2020-03-03,2023-10-08,2019-08-25,2023-10-08,,Marketing 360;WordPress;Beaver Builder,,-,-,-,-
1stchoiceappliancerepair.com,1stchoiceappliancerepair.com,$100,,,,,1ST Choice Appliance Repair LLC,Home And Garden,26896800,alfredo@1stchoiceappliancerepair.com,,,,,,,,2020-02-25,2023-10-17,2006-02-10,2023-10-17,,WordPress;Beaver Builder,,-,-,-,-
1stchoicedoors.com,1stchoicedoors.com,$100,$14130,,,,1st Choice Doors LLC,Automotive And Vehicles,17230773,info@1stchoicedoors.com;service@1stchoicedoors.com,,,instagram.com/1stchoicedoors,Indianapolis,IN,46241,US,2021-04-13,2023-10-07,2012-06-15,2023-10-07,,Wix,,-,-,-,-
1stchoicelab.com,1stchoicelab.com,$1000,,0,0,0,,Finance,23561471,info@1stchoicelab.com;natalie@1stchoicelab.com;orders@1stchoicelab.com;marketing@1stchoicelab.com,,,,Goodyear,AZ,85395,US,2020-02-25,2023-09-04,2011-01-27,2023-10-16,,Webflow,,Top 50m,-,-,-
1stchoicemechanicalaz.com,1stchoicemechanicalaz.com,$1000,,50,0,0,1st Choice Mechanical LLC,Business And Industrial,10539395,,,,instagram.com/1stchoicemechanicalaz,Phoenix,Arizona,85027,US,2021-07-18,2023-10-08,2019-01-02,2023-10-08,,WordPress,Hubspot,Top 50m,-,-,-
1stchoiceplumbingdraincleaning.ca,1stchoiceplumbingdraincleaning.ca,$250,,0,0,0,,Business And Industrial,41190732,,,,,Westsyde,BC,V2B 6R7,CA,2023-06-04,2023-10-07,2016-06-29,2023-10-07,,,,Top 50m,-,-,-
1sthvac.com,1sthvac.com,$1000,,10,0,0,1st HVAC,Automotive And Vehicles,27445504,info@1sthvac.com,,,instagram.com/1sthvac,Simi Valley,CA,93065,US,2019-09-10,2023-09-04,2016-01-04,2023-09-26,,WordPress,,-,-,-,California CCPA
2020drainclean.com,2020drainclean.com,$250,$24426,100,0,0,2020 Drain Clean,Home And Garden,27445519,,,,instagram.com/2020drainclean_plumbing,Newington,VA,22079,US,2020-02-25,2023-10-13,2017-11-25,2023-10-16,Ecwid,Duda;Wix,,Top 50m,-,-,-
20perroom.com,20perroom.com,$100,,,,,Diamond Superior LLC,Business And Industrial,Outside Top 100m,contact@diamondsuperior.com,,,,Las Vegas,NV,89128,US,2021-06-13,2023-10-07,2021-01-06,2023-10-07,,WordPress,,-,-,-,-
2145036961.com,2145036961.com,$250,,,,,,Technology And Computing,Outside Top 100m,"info@awssmarthome.com, 503-6961Support@awssmarthome.comPowered",,,,,,,,2023-02-26,2023-07-09,2001-04-05,2023-10-07,,Netlify,,-,-,-,-
2marketing.ca,prime.2marketing.ca,$500,,0,0,22,2marketing,Business And Industrial,53093832,FAQs-about-laser-hair-removal@2x-1.jpg,,,instagram.com/2markting,,,,ES,2023-08-15,2023-10-07,2017-07-12,2023-10-15,,WordPress,,-,-,-,GDPR Spain
brendanwalshplumbing.com,brendanwalshplumbing.com,$100,,0,0,0,Brendan Walsh Plumbing,Home And Garden,44979984,info@brendanwalshplumbing.com,,,,,PA,19018,US,2019-06-01,2023-10-18,2011-08-22,2023-10-18,,WordPress,,-,-,-,-
bubbasjunkremoval.com,bubbasjunkremoval.com,$100,,250,0,0,,Automotive And Vehicles,30465992,info@bubbasjunkremoval.com,,twitter.com/Bubbasjunk_llc,instagram.com/bubbasjunkremoval,Pearland,TX,77584,US,2021-10-24,2023-10-17,2018-08-30,2023-10-17,,WordPress,,-,-,-,-
northsideplumbingatlanta.com,northsideplumbingatlanta.com,$100,,10,0,0,Northside Plumbing,Home And Garden,22078161,info@northsideplumbingatlanta.com,,twitter.com/NorthsidePlumbA,instagram.com/northsideplumbingatlanta,Woodstock,GA,30189,US,2020-02-25,2023-10-16,2018-02-02,2023-10-16,,WordPress,,-,-,-,-
thegatekeeper.org,thegatekeeper.org,$100,,,,,Custom Gate Design,Technology And Computing,26265937,service@thegatekeeper.org,,,,Chatsworth,CA,91311,US,2019-07-15,2023-10-07,2008-10-12,2023-10-16,,Unbounce;WordPress,,Top 50m,-,-,California CCPA
tomoservicesinc.com,tomoservicesinc.com,$100,$13570,0,0,0,,,Outside Top 100m,,,,,,,,,2020-02-25,2023-10-06,2017-12-04,2023-10-06,Ecwid,Duda,,-,-,-,-
ilocalserver.com,premiergutters.ilocalserver.com,$1000,,0,0,31,Alpha Team Realty Group,Business And Industrial,53922855,,,,,Tacoma,WA,98444,US,2023-06-20,2023-09-19,2015-06-20,2023-10-19,,Dealer Spike;Joomla!;WordPress,,-,-,-,-
junk-station.com,junk-station.com,$250,,0,0,0,Junk Station LLC,Business And Industrial,26346025,info@junk-station.com,,,,,,,,2021-05-18,2023-10-17,2020-05-12,2023-10-17,,WordPress,,Top 50m,-,-,-
servermaintain.com,perfection.servermaintain.com,$1000,,0,0,0,,,11540813,,,,,,,,,2021-01-22,2023-07-05,2011-01-31,2023-10-17,,WordPress,Hubspot,-,-,-,-
housecallpro.com,housecallpro.com,$5000,$67997,5000,100,0,Housecall Pro,Business And Industrial,59496,support@housecallpro.com,,twitter.com/housecallpro,instagram.com/housecall,San Diego,CA,92130,US,2017-10-31,2023-10-17,2012-09-16,2023-10-19,Shopify;Ecwid,Netlify;Contentful;StatusPage IO;My Salesforce;Atlassian Cloud;Skilljar;Intercom Help;Duda;WordPress,,Top 50m,Top 50k,-,California CCPA
linktr.ee,linktr.ee/*,$10000,,2000,100,0,Art 0f Rage,Technology And Computing,160,hello@linktr.ee;support@linktr.ee,,twitter.com/linktree_,instagram.com/linktr.ee,Marana,AZ,85658,US,2023-02-27,2023-08-16,2016-06-29,2023-10-19,SalonInteractive;Slerp;Ecwid;Shoppy;Shopier;Zen Cart,StatusPage IO;Intercom Help;LeadPages;Floify;Demio;Pipefy;Dubsado;flexmls;Cliniko;Skilljar;Veracross;Teachable;talentReef;UrbanX;Hypefactors;iModules;Blackbaud;MeridianLink;ParishSOFT;Cloud CMA;Bloomerang;PropertyMeld;ChannelManager;Symplicity;Arketa;FitogramPro;Travefy;Octiv;Everbridge;Kalix Health;Ubindi;FACTS;Kiwify;Freshteam;Trainerize;InVision App;Daxko;NetSuite;Publitas;ByDesign;Joomag;The Knot;Subsplash;Squire;Casting Networks;Fullscript;Rent Manager;Workday;Church Center;Tenant Turner;HomeSpotter;Substack;LenderHomePage;Mighty Networks;Handshake;VolunteerMatch;Synxis Guest Connect;Beehiiv;Studio Ninja;Seesaw;Tribute Archive;GitBook;Blogger;Serendipity;Keller Williams Realty;Drupal;Webflow;Greenhouse,EveryAction;Infusionsoft;NeonCRM;ClickUp;Pipedrive;Kindrid Giving;ACS Technologies;BombBomb;Tint Wiz;Airship CRM;Glue Up;Salesforce;Elexio,Top 50m,Top 50k,-,GDPR Estonia
614electrician.com,614electrician.com,$100,,,,,614electrician,Automotive And Vehicles,25393386,buckeyeelectrician@gmail.comOffice,,,instagram.com/614electrician,Columbus,OH,43221,US,2019-08-25,2023-10-07,2017-12-25,2023-10-16,,GoDaddy Website Builder,,Top 50m,-,-,-
705electric.com,705electric.com,$250,,250,0,0,,Business And Industrial,29417210,,,,instagram.com/705electricinc,,,,,2020-03-03,2023-10-16,2018-01-02,2023-10-16,Shopify,Webflow,CHIIRP,-,-,-,-
757greenline.com,757greenline.com,$100,,0,0,0,GreenLine,Home And Garden,43365006,,,,instagram.com/757greenline,,,,,2020-04-11,2023-10-07,2019-11-02,2023-10-16,,WordPress,,Top 50m,-,-,-
772500junk.com,772500junk.com,$100,,0,0,0,,Business And Industrial,45046643,,,twitter.com/772500junk,instagram.com/772500junk,Port Saint Lucie,FL,34952,US,2020-04-04,2023-10-07,2015-07-14,2023-10-07,,GoDaddy Website Builder,,-,-,-,-
774help.com,774help.com,$100,,,,,Mortensen Custom Plumbing,Home And Garden,40061205,,,,,Flagstaff,AZ,86001,US,2020-07-31,2023-10-07,2016-03-14,2023-10-07,,Wix,,-,-,-,-
7starsmobileautodetailing.com,7starsmobileautodetailing.com,$1000,,,,,,Automotive And Vehicles,Outside Top 100m,info@7starsmobileautodetailing.com;ej@7starsmobileautodetailing.com;details@7starsmobileautodetailing.com;supplies@7starsmobileautodetailing.com;jobs@7starsmobileautodetailing.com,,,,Sasabe,AZ,85633,US,2023-04-28,2023-07-16,2022-07-18,2023-08-28,,WordPress,,-,-,-,-
facilitydoctors.com,facilitydoctors.com,$100,,0,0,0,Facility Doctors,,Outside Top 100m,"filler@godaddy.comBookingsMy, filler@godaddy.com",,,,Wake Forest,NC,27587,US,2022-03-14,2023-10-17,2010-08-13,2023-10-17,,Google Search Appliance;GoDaddy Website Builder,,-,-,-,-
facilityforcepro.com,facilityforcepro.com,$100,,0,0,0,,,Outside Top 100m,Emailcontact@myffpro.comPhone,,,,,,,,2023-09-09,2023-09-22,2020-11-26,2023-10-17,,GoDaddy Website Builder;WordPress,,-,-,-,-
fahrenheitheatingandcooling.com,fahrenheitheatingandcooling.com,$250,,,,,Fahrenheit Heating and Cooling,Technology And Computing,27422412,,,,,Ann Arbor,MI,48108,US,2022-04-20,2023-10-17,2015-05-31,2023-10-17,,WordPress,,-,-,-,-
fairestofallcarpetcleaners.com,fairestofallcarpetcleaners.com/*,$500,,0,0,0,9477 Greenback Ln. 521,Art And Entertainment,23140449,info@fairestclean.com,,,instagram.com/fairestclean,Downtown,CA,95814,US,2022-01-23,2023-09-11,2010-05-03,2023-10-17,,Squarespace,,-,-,-,California CCPA
fairfaxkwikdry.com,fairfaxkwikdry.com,$100,,0,0,0,Fairfax Kwik Dry Total Cleaning,Art And Entertainment,70741091,fairfaxkwikdry@gmail.com,,,,Falls Church,VA,22043,US,2020-09-16,2023-09-11,2020-07-08,2023-10-08,,SiteBuilder;WordPress;WebsiteBuilder,,-,-,-,-
faithfullyclean.com,faithfullyclean.com,$100,,,,,,Business And Industrial,84692523,info@faithfullyclean.com,,,instagram.com/faithfullyclean,,VA,23235,US,2020-05-08,2023-09-10,2010-11-10,2023-10-17,,WordPress,,-,-,-,-
faithfullydetailing.com,faithfullydetailing.com,$1000,$120942,,,,,,Outside Top 100m,"pakridge@faithfullydetailing.com, nshields@faithfullydetailing.comFaithful",,,,,,,,2023-02-09,2023-05-29,2022-08-18,2023-10-17,Squarespace Add to Cart,Squarespace,,-,-,-,-
falconcoatings.com,falconcoatings.com,$1000,$109894,,,,,,Outside Top 100m,,,,,Silver Spring,MD,20903,US,2023-05-07,2023-10-17,2011-02-01,2023-10-17,Ecwid,Duda,,-,-,-,-
falconecrawlspace.com,falconecrawlspace.com,$1000,,0,0,0,Falcone Crawl Space &,Technology And Computing,25262457,bettieann@falconecrawlspace.com;jobs@falconecrawlspace.com;office@falconecrawlspace.com,,twitter.com/falconecrawl,,Wilson Heights,NC,28269,US,2022-12-11,2023-07-25,2013-02-28,2023-10-17,,WordPress,,Top 10m,-,-,-
fallbrookheating.com,fallbrookheating.com,$250,,0,0,0,Fallbrook Heating and Air Conditiong Inc,Business And Industrial,45482247,info@fallbrookheating.com,,,,Fallbrook,CA,92088,US,2021-11-10,2023-10-18,2011-02-02,2023-10-18,,WordPress,,-,-,-,California CCPA
fallingstarhvac.com,fallingstarhvac.com,$500,$35650,0,0,0,,Business And Industrial,Outside Top 100m,info@fallingstarhvac.com,,,,Colorado Springs,CO,80916,US,2023-05-29,2023-10-17,2022-09-01,2023-10-17,Ecwid,Duda;Thryv;Camilyo,,-,-,-,-
familycleanersct.com,familycleanersct.com,$100,$7115,0,0,0,,,Outside Top 100m,info@familycleanersct.com,,,,East Hartford,CT,06118,US,2022-07-25,2023-06-17,2022-07-08,2023-10-17,,Google Search Appliance;WordPress,,Top 50m,-,-,-
familycleaning.co,familycleaning.co,$100,,,,,House Cleaning,Business And Industrial,Outside Top 100m,FamilyCleaning@sitnas.com,,,instagram.com/family_cleaning_co,Atlanta,GA,30318,US,2023-05-07,2023-09-22,2018-10-25,2023-10-08,,WordPress,,-,-,-,-
familyhvac.com,familyhvac.com,$500,,0,0,0,familyhvac.com Corp,Law  Govt And Politics,14742172,info@familyhvac.com,,,instagram.com/wearefamilyhvac,Elkins Park,PA,19027,US,2020-03-03,2023-10-17,2011-02-02,2023-10-17,,,CHIIRP,Top 5m,-,-,-
familymanhandyman.academy,familymanhandyman.academy,$100,,,,,,Law  Govt And Politics,Outside Top 100m,info@familymanhandyman.com,,,,,,,,2020-06-17,2023-10-17,2020-06-17,2023-10-17,,WordPress,,-,-,-,-
familymanhandyman.com,familymanhandyman.com,$100,,0,0,0,,Home And Garden,55178119,info@familymanhandyman.com,,,,,,,,2019-02-25,2023-10-17,2011-02-02,2023-10-17,,WordPress,,-,-,-,-
famouscoolair.com,famouscoolair.com,$100,,,,,,,Outside Top 100m,"famouscoolair@gmail.comOperating, Famouscoolair@gmail.com",,,,,,,,2023-05-07,2023-10-17,2022-08-23,2023-10-17,,GoDaddy Website Builder,,-,-,-,-
fantasticcarpetcleaningnyc.com,fantasticcarpetcleaningnyc.com,$100,,0,0,0,Fantastic Carpet Cleaning NLC,Home And Garden,17717659,fantasticcleaningny@gmail.com,,twitter.com/fantasticclean6,instagram.com/fantasticcarpetcleaningnyc,Ridgewood,NY,11385,US,2023-06-17,2023-09-14,2017-06-19,2023-10-07,,WordPress,,Top 50m,-,-,-
farmersheatingair.com,farmersheatingair.com,$250,,0,0,0,,,Outside Top 100m,881-38451Farmershvac@gmail.comPowered,,,,,,,,2022-09-08,2023-05-29,2022-07-25,2023-10-18,,Netlify,,-,-,-,-
farmersheatingandcoolingsolutions.com,farmersheatingandcoolingsolutions.com,$100,,0,0,0,Farmers Heating And Cooling Solutions LLC,Business And Industrial,46802806,farmersheatingandcooling2021@gmail.com,,,,Middleburg,FL,32068,US,2021-12-30,2023-09-22,2021-04-27,2023-10-08,,SiteBuilder;WordPress;WebsiteBuilder,,-,-,-,-
farmhousehvac.com,farmhousehvac.com,$1000,,,,,,Business And Industrial,Outside Top 100m,,,,,,,,,2022-01-21,2023-10-18,2021-01-17,2023-10-18,,WordPress,,-,-,-,-
fastfreddysplumbing.com,fastfreddysplumbing.com,$1000,,,,,,Home And Garden,27457852,,,,,Lincoln,NE,68522,US,2021-12-30,2023-10-18,2013-07-03,2023-10-18,,WordPress,,-,-,-,-
fastgarage.pro,fastgarage.pro,$250,,,,,,,Outside Top 100m,585-1265fastgarage205@gmail.comPowered,,,,,,,,2022-09-08,2023-05-29,2019-08-25,2023-10-08,,Netlify,,-,-,-,-
fasthandyelectric.com,fasthandyelectric.com,$500,$14878,0,0,10,Fast Handy Electric,Home And Garden,26805782,info@fasthandyelectric.com,,,,San Jose,California,95111,US,2021-07-31,2023-10-18,2013-10-15,2023-10-18,WooCommerce Checkout,WordPress,,-,-,-,California CCPA
fastplumbernow.com,fastplumbernow.com,$100,,,,,,,Outside Top 100m,SerenityPlumbing@Gmail.com,,,,,,,,2023-10-18,2023-10-18,2023-08-15,2023-10-18,,,,-,-,-,-
fastserviceok.com,fastserviceok.com,$100,,0,0,0,,,19832401,americareheatandair@gmail.comHours,,,,Norman,OK,73072,US,2018-07-12,2023-10-18,2016-05-28,2023-10-18,,WordPress,,Top 50m,-,-,-
fatcatjunkremoval.com,fatcatjunkremoval.com,$100,$33546,0,0,0,,,Outside Top 100m,info@fatcatjunkremoval.com,,,,,,,,2023-06-17,2023-10-18,2022-02-16,2023-10-18,,WordPress,,-,-,-,-
fathersonsmobiledetailinghouston.com,fathersonsmobiledetailinghouston.com,$100,,,,,,,Outside Top 100m,,,,,,,,,2022-12-31,2023-09-22,2020-01-02,2023-10-18,,Google My Business;Google Sites,,-,-,-,-
fayettevillehvac.com,fayettevillehvac.com,$250,$8176,0,0,0,,Business And Industrial,25200194,,,,,Fayetteville,NC,28305,US,2017-11-07,2023-10-18,2009-09-13,2023-10-18,,WordPress;Beaver Builder,CHIIRP,Top 10m,-,-,-
feltonlawncarellc.com,feltonlawncarellc.com,$250,,,,,,,Outside Top 100m,264-0523pugilism1212@gmail.comPowered,,,,,,,,2023-03-21,2023-10-18,2023-03-21,2023-10-18,,Netlify,,-,-,-,-
